0x88990011, "D2DERR_BAD_NUMBER", "The number is invalid.",
0x88990025, "D2DERR_BITMAP_BOUND_AS_TARGET", "You can't draw with a bitmap that is currently bound as the target bitmap.",
0x88990021, "D2DERR_BITMAP_CANNOT_DRAW", "You can't draw with a bitmap that has the D2D1_BITMAP_OPTIONS_CANNOT_DRAW option.",
0x88990020, "D2DERR_CYCLIC_GRAPH", "A cycle occurred in the graph.",
0x88990009, "D2DERR_DISPLAY_FORMAT_NOT_SUPPORTED", "The display format to render is not supported by the hardware device.",
0x88990006, "D2DERR_DISPLAY_STATE_INVALID", "A valid display state could not be determined.",
0x88990028, "D2DERR_EFFECT_IS_NOT_REGISTERED", "The class ID of the specified effect is not registered by the operating system.",
0x8899001D, "D2DERR_EXCEEDS_MAX_BITMAP_SIZE", "The requested size is larger than the guaranteed supported texture size.",
0x88990018, "D2DERR_INCOMPATIBLE_BRUSH_TYPES", "The brush types are incompatible for the call.",
0x8007007A, "D2DERR_INSUFFICIENT_BUFFER", "The supplied buffer is too small to accommodate the data.",
0x88990026, "D2DERR_INSUFFICIENT_DEVICE_CAPABILITIES", "The Direct3D device doesn't have sufficient capabilities to perform the requested action.",
0x88990027, "D2DERR_INTERMEDIATE_TOO_LARGE", "You can't render the graph with the context's current tiling settings.",
0x88990008, "D2DERR_INTERNAL_ERROR", "The application should close this instance of Direct2D and restart it as a new process.",
0x8899000A, "D2DERR_INVALID_CALL", "A call to this method is invalid.",
0x8899001E, "D2DERR_INVALID_GRAPH_CONFIGURATION", "A configuration error occurred in the graph.",
0x8899001F, "D2DERR_INVALID_INTERNAL_GRAPH_CONFIGURATION", "An internal configuration error occurred in the graph.",
0x88990029, "D2DERR_INVALID_PROPERTY", "The specified property doesn't exist.",
0x88990024, "D2DERR_INVALID_TARGET", "You can't set the image as a target because it is either an effect or a bitmap that doesn't have the D2D1_BITMAP_OPTIONS_TARGET option.",
0x88990013, "D2DERR_LAYER_ALREADY_IN_USE", "The application attempted to reuse a layer resource that has not yet been popped off the stack.",
0x8899000F, "D2DERR_MAX_TEXTURE_SIZE_EXCEEDED", "The requested DX surface size exceeds the maximum texture size.",
0x8899000B, "D2DERR_NO_HARDWARE_DEVICE", "There is no hardware rendering device available for this operation.",
0x8899002A, "D2DERR_NO_SUBPROPERTIES", "The specified sub-property doesn't exist.",
0x88990002, "D2DERR_NOT_INITIALIZED", "The object has not yet been initialized.",
0x88990023, "D2DERR_ORIGINAL_TARGET_NOT_BOUND", "The operation failed because the original target isn't currently bound as a target.",
0x88990022, "D2DERR_OUTSTANDING_BITMAP_REFERENCES", "The operation can't complete while you have outstanding references to the target bitmap.",
0x88990014, "D2DERR_POP_CALL_DID_NOT_MATCH_PUSH", "The application attempted to pop a layer off the stack when a clip was at the top, or pop a clip off the stack when a layer was at the top.",
0x8899002C, "D2DERR_PRINT_FORMAT_NOT_SUPPORTED", "This error occurs during print control creation (ID2D1Device::CreatePrintControl) to indicate that the Direct2D print control (ID2D1PrintControl) can't support any of the package target types that represent printer formats.",
0x8899002B, "D2DERR_PRINT_JOB_CLOSED", "The application called ID2D1PrintControl::AddPage or ID2D1PrintControl::Close after the print job is already finished.",
0x88990016, "D2DERR_PUSH_POP_UNBALANCED", "The application did not pop all clips and layers off the stack, or it attempted to pop too many clips or layers off the stack.",
0x8899000C, "D2DERR_RECREATE_TARGET", "A presentation error has occurred that may be recoverable. The caller needs to re-create the render target then attempt to render the frame again.",
0x88990017, "D2DERR_RENDER_TARGET_HAS_LAYER_OR_CLIPRECT", "The requested operation cannot be performed until all layers and clips have been popped off the stack.",
0x88990004, "D2DERR_SCANNER_FAILED", "The geometry scanner failed to process the data.",
0x88990005, "D2DERR_SCREEN_ACCESS_DENIED", "Direct2D could not access the screen.",
0x8899000E, "D2DERR_SHADER_COMPILE_FAILED", "Shader compilation failed.",
0x8899001A, "D2DERR_TARGET_NOT_GDI_COMPATIBLE", "The render target is not compatible with GDI.",
0x8899001B, "D2DERR_TEXT_EFFECT_IS_WRONG_TYPE", "A text client drawing effect object is of the wrong type.",
0x8899001C, "D2DERR_TEXT_RENDERER_NOT_RELEASED", "An application is holding a reference to the IDWriteTextRenderer interface after the corresponding DrawTextor DrawTextLayout call has returned.",
0x8899000D, "D2DERR_TOO_MANY_SHADER_ELEMENTS", "Shader construction failed because it was too complex.",
0x8899002D, "D2DERR_TOO_MANY_TRANSFORM_INPUTS", "An effect attempted to use a transform with too many inputs.",
0x88990003, "D2DERR_UNSUPPORTED_OPERATION", "The requested operation is not supported.",
0x88982F80, "D2DERR_UNSUPPORTED_PIXEL_FORMAT", "The pixel format is not supported.",
0x88990010, "D2DERR_UNSUPPORTED_VERSION", "The requested Direct2D version is not supported.",
0x88990019, "D2DERR_WIN32_ERROR", "An unknown Win32 failure occurred.",
0x88990012, "D2DERR_WRONG_FACTORY", "Objects used together were not all created from the same factory instance.",
0x88990015, "D2DERR_WRONG_RESOURCE_DOMAIN", "The resource used was created by a render target in a different resource domain.",
0x88990001, "D2DERR_WRONG_STATE", "The object was not in the correct state to process the method.",
0x88990007, "D2DERR_ZERO_VECTOR", "The supplied vector is zero.",
